<X>, <Y>, <dY>
9.733527150000001e-03, 3.707696880000000e-01, 1.833525100000000e-02
9.959153830000001e-03, 3.494642930000000e-01, 1.803930800000000e-02
1.018478050000000e-02, 3.261500860000000e-01, 1.778384810000000e-02
1.041040790000000e-02, 3.019913510000000e-01, 1.752615050000000e-02
1.065107660000000e-02, 2.836847920000000e-01, 1.619835860000000e-02
1.090678720000000e-02, 2.716408780000000e-01, 1.593268380000000e-02
1.116249780000000e-02, 2.362371190000000e-01, 1.591123510000000e-02
1.141820850000000e-02, 2.283815960000000e-01, 1.608454510000000e-02
1.167391910000000e-02, 2.139186180000000e-01, 1.592355240000000e-02
1.194467100000000e-02, 2.044494810000000e-01, 1.459442680000000e-02
1.223046560000000e-02, 2.065634700000000e-01, 1.432856800000000e-02
1.251626010000000e-02, 1.994169600000000e-01, 1.409289390000000e-02
1.280205400000000e-02, 2.132621920000000e-01, 1.390140950000000e-02
1.310289060000000e-02, 1.750319080000000e-01, 1.294787520000000e-02
1.341876830000000e-02, 1.664068280000000e-01, 1.297751650000000e-02
1.373464610000000e-02, 1.639286620000000e-01, 1.326046260000000e-02
1.405052390000000e-02, 1.543638430000000e-01, 1.362583830000000e-02
1.438144300000000e-02, 1.524618600000000e-01, 1.323489600000000e-02
1.472740470000000e-02, 1.619659980000000e-01, 1.338653340000000e-02
1.507336500000000e-02, 1.623387330000000e-01, 1.348794300000000e-02
1.541932670000000e-02, 1.619621570000000e-01, 1.360050260000000e-02
1.578032970000000e-02, 1.734217250000000e-01, 1.316013360000000e-02
1.615637540000000e-02, 1.685036410000000e-01, 1.323133100000000e-02
1.653241960000000e-02, 1.611491400000000e-01, 1.329232010000000e-02
1.690846530000000e-02, 1.507386710000000e-01, 1.333618560000000e-02
1.729955230000000e-02, 1.338720550000000e-01, 1.285078730000000e-02
1.770568040000000e-02, 1.288498420000000e-01, 1.316921920000000e-02
1.811180860000000e-02, 1.224329470000000e-01, 1.372702100000000e-02
1.853297950000000e-02, 1.126854990000000e-01, 1.366436090000000e-02
1.896919160000000e-02, 1.079732330000000e-01, 1.407401840000000e-02
1.940540370000000e-02, 1.096929810000000e-01, 1.469531600000000e-02
1.985665710000000e-02, 9.594260039999999e-02, 1.581978720000000e-02
2.032295320000000e-02, 9.668591380000000e-02, 1.731580680000000e-02
2.078924920000000e-02, 8.803560030000000e-02, 1.886267960000000e-02
2.127058660000000e-02, 7.819804520000000e-02, 1.985803520000000e-02
2.176696660000000e-02, 7.354732690000000e-02, 2.217851340000000e-02
2.226334510000000e-02, 6.600211330000000e-02, 2.491881520000000e-02
2.277476640000000e-02, 5.850724500000000e-02, 2.709826320000000e-02
2.330123040000000e-02, 5.927896750000000e-02, 3.127514430000000e-02
2.384273410000000e-02, 5.282841000000000e-02, 3.614842790000000e-02
2.439928050000000e-02, 4.179449820000000e-02, 4.181229880000000e-02
2.497086970000000e-02, 3.309213440000000e-02, 4.955918500000000e-02
2.555750010000001e-02, 4.611115400000000e-02, 6.971286520000000e-02
