q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,TAPBdmpdaStandardLowQ_eiger2_18637_sub.dat_00001_[sub(TAPBdmpdaStandardLowQ_eiger2_18637_ave.h5_00001_[AN_3_30_37_PRM_90C]-TAPBdmpdaStandardLowQ_eiger2_18148_av_ave.h5_00001_[AN_3_30_36_PRM_90C])],1,0.0050)	error
0.0158514857	-0.0145301095	0.0365148458
0.016229178	-0.0224014479	0.0367141241
0.016606870300000003	-0.0272795996	0.0368733653
0.0169845641	-0.0205614766	0.0370308353
0.0173773646	-0.0284527248	0.0357365781
0.017785272	-0.0293575779	0.0369776916
0.0181931809	-0.014427495	0.0384485365
0.0186161965	-0.0204763903	0.0381854577
0.0190543205	-0.0134420791	0.0394213111
0.019492442900000004	-0.0360962276	0.0417756021
0.0199456751	-0.024686094	0.0449256623
0.0204140142	-0.0208452304	0.0491369745
0.020882353200000002	-0.0182234334	0.0534967124
0.021365799	-0.0138732041	0.0566392968
0.0218643546	-0.0204769114	0.0635472147
0.022362908700000003	-0.00918004335	0.0712265424
0.022876571100000003	-0.00283701952	0.0778692151
0.0234053403	-0.0102760228	0.0905466367
0.023949217800000002	0.00208901819	0.10444364
